ID;currencyname;rounding;symbol;before;accuracy
1;EUR;0.010000;€;FALSE;4
3;USD;0.010000;$;TRUE;4 
4;VEF;0.000100;Bs.F;FALSE;4
5;CAD;0.010000;$;FALSE;4
6;CHF;0.010000;CHF;FALSE;4
7;BRL;0.010000;R$;FALSE;4
8;CNY;0.010000;¥;FALSE;4
9;COP;0.010000;$;FALSE;4
10;CZK;0.010000;K?;FALSE;4
11;DKK;0.010000;kr;FALSE;4
12;HUF;0.010000;Ft;FALSE;4
13;IDR;0.010000;Rp;FALSE;4
14;LVL;0.010000;Ls;FALSE;4
15;NOK;0.010000;kr;FALSE;4
16;XPF;1.000000;XPF;FALSE;4
17;PAB;0.010000;B/.;FALSE;4
18;PLN;0.010000;z?;FALSE;4
19;SEK;0.010000;kr;FALSE;4
20;ARS;0.010000;$;FALSE;4
21;INR;0.010000;?;FALSE;4
22;AUD;0.010000;$;FALSE;4
23;UAH;0.010000;?;FALSE;4
24;VND;0.010000;?;FALSE;4
25;HKD;0.010000;$;FALSE;4
26;JPY;0.010000;¥;FALSE;4
27;BGN;0.010000;??;FALSE;4
28;LTL;0.010000;Lt;FALSE;4
29;RON;0.010000;lei;FALSE;4
30;HRK;0.010000;kn;FALSE;4
31;RUB;0.010000;???;FALSE;4
32;TRY;0.010000;TL;FALSE;4
33;KRW;0.010000;?;FALSE;4
34;MXN;0.010000;$;FALSE;4
35;MYR;0.010000;RM;FALSE;4
36;NZD;0.010000;$;FALSE;4
37;PHP;0.010000;Php;FALSE;4
38;SGD;0.010000;$;FALSE;4
39;ZAR;0.010000;R;FALSE;4
40;CRC;0.010000;¢;FALSE;4
41;MUR;0.010000;Rs;FALSE;4
42;XOF;1.000000;CFA;FALSE;4
43;XAF;1.000000;FCFA;FALSE;4
44;UGX;1.000000;USh;FALSE;4
45;HNL;0.010000;L;FALSE;4
46;CLP;0.010000;$;FALSE;4
47;UYU;0.010000;$;FALSE;4
48;AFN;0.010000;Afs;FALSE;4
49;AOA;0.010000;Kz;FALSE;4
50;XCD;0.010000;$;FALSE;4
51;AMD;0.010000;??.;FALSE;4
52;AWG;0.010000;Afl.;FALSE;4
53;AZN;0.010000;m;FALSE;4
54;BSD;0.010000;B$;FALSE;4
55;BHD;0.010000;BD;FALSE;4
56;BDT;0.010000;?;FALSE;4
57;BBD;0.010000;Bds$;FALSE;4
58;BYR;0.010000;BR;FALSE;4
59;BZD;0.010000;BZ$;FALSE;4
60;BMD;0.010000;BD$;FALSE;4
61;BTN;0.010000;Nu.;FALSE;4
62;BOB;0.010000;Bs.;FALSE;4
63;BAM;0.010000;KM;FALSE;4
64;BWP;0.010000;P;FALSE;4
65;BIF;0.010000;FBu;FALSE;4
66;KHR;0.010000;?;FALSE;4
67;KYD;0.010000;$;FALSE;4
68;KMF;0.010000;CF;FALSE;4
69;CDF;0.010000;Fr;FALSE;4
70;CUP;0.010000;$;FALSE;4
71;ANG;0.010000;ƒ;FALSE;4
72;CYP;0.010000;£;FALSE;4
73;DJF;0.010000;Fdj;FALSE;4
74;DOP;0.010000;RD$;FALSE;4
75;TPE;0.010000;;FALSE;4
76;ECS;0.010000;S/.;FALSE;4
77;EGP;0.010000;E£;FALSE;4
78;SVC;0.010000;¢;FALSE;4
79;ERN;0.010000;Nfk;FALSE;4
80;EEK;0.010000;kr;FALSE;4
81;ETB;0.010000;Br;FALSE;4
82;FKP;0.010000;£;FALSE;4
83;FJD;0.010000;FJ$;FALSE;4
84;GEL;0.010000;?;FALSE;4
85;GIP;0.010000;£;FALSE;4
86;QTQ;0.010000;Q;FALSE;4
87;GNF;0.010000;FG;FALSE;4
88;GWP;0.010000;;FALSE;4
89;GYD;0.010000;$;FALSE;4
90;HTG;0.010000;G;FALSE;4
91;ISK;0.010000;kr;FALSE;4
92;IRR;0.010000;?;FALSE;4
93;IQD;0.010000; ?.?;FALSE;4
94;ILS;0.010000;?;FALSE;4
95;JMD;0.010000;$;FALSE;4
96;JOD;0.010000; ?.?;FALSE;4
97;KZT;0.010000;??;FALSE;4
98;KES;0.010000;KSh;FALSE;4
99;KWD;0.010000; ?.?;FALSE;4
100;KGS;0.010000;??;FALSE;4
101;LAK;0.010000;?;FALSE;4
102;LBP;0.010000;?.?;FALSE;4
103;LSL;0.010000;L;FALSE;4
104;LRD;0.010000;L$;FALSE;4
105;LYD;0.010000; ?.?;FALSE;4
106;MOP;0.010000;MOP$;FALSE;4
107;MKD;0.010000;???;FALSE;4
108;MGA;0.010000;Ar;FALSE;4
109;MWK;0.010000;MK;FALSE;4
110;MVR;0.010000;.?;FALSE;4
111;MRO;0.010000;UM;FALSE;4
112;MDL;0.010000;L;FALSE;4
113;MNT;0.010000;?;FALSE;4
114;MAD;0.010000; ?.?;FALSE;4
115;BND;0.010000;$;FALSE;4
116;DZD;0.010000;DZ;FALSE;4
117;GHS;0.010000;GH¢;FALSE;4
118;GMD;0.010000;D;FALSE;4
119;ZRZ;0.010000;?;FALSE;4
120;MZN;0.010000;MT;FALSE;4
121;MMK;0.010000;K;FALSE;4
122;NAD;0.010000;$;FALSE;4
123;NPR;0.010000;?;FALSE;4
124;ALL;0.010000;L;FALSE;4
125;NIO;0.010000;C$;FALSE;4
126;NGN;0.010000;?;FALSE;4
127;KPW;0.010000;?;FALSE;4
128;ZWD;0.010000;Z$;FALSE;4
129;ZMK;0.010000;ZK;FALSE;4
130;YER;0.010000;?;FALSE;4
131;VEB;0.010000;Bs;FALSE;4
132;VUV;0.010000;VT;FALSE;4
133;UZS;0.010000;??;FALSE;4
134;UYP;0.010000;$U;FALSE;4
135;AED;0.010000;?.?;FALSE;4
136;UAG;0.010000;?;FALSE;4
137;TMM;0.010000;m;FALSE;4
138;TRL;0.010000;TL;FALSE;4
139;TND;0.010000;DT;FALSE;4
140;TTD;0.010000;$;FALSE;4
141;TOP;0.010000;T$;FALSE;4
142;THB;0.010000;?;FALSE;4
143;TZS;0.010000;x/y;FALSE;4
144;TJR;0.010000;;FALSE;4
145;TWD;0.010000;NT$;FALSE;4
146;SYP;0.010000;£;FALSE;4
147;SZL;0.010000;E;FALSE;4
148;SRG;0.010000;$;FALSE;4
149;SDD;0.010000;£Sd;FALSE;4
150;LKR;0.010000;Rs;FALSE;4
151;SSP;0.010000;£;FALSE;4
152;GBP;0.010000;£;FALSE;4
153;SOD;0.010000;Sh.;FALSE;4
154;SBD;0.010000;SI$;FALSE;4
155;SLL;0.010000;Le;FALSE;4
156;SCR;0.010000;SR;FALSE;4
157;RSD;0.010000;din.;FALSE;4
158;SAR;0.010000;SR;FALSE;4
159;STD;0.010000;Db;FALSE;4
160;ITL;0.010000;?;FALSE;4
161;WST;0.010000;WS$;FALSE;4
162;SHP;0.010000;£;FALSE;4
163;RWF;0.010000;RF;FALSE;4
164;RUR;0.010000;R;FALSE;4
165;ROL;0.010000;L;FALSE;4
166;QAR;0.010000;QR;FALSE;4
167;PLZ;0.010000;z?;FALSE;4
168;PEN;0.010000;S/.;FALSE;4
169;PYG;0.010000;?;FALSE;4
170;PGK;0.010000;K;FALSE;4
171;PKR;0.010000;Rs.;FALSE;4
172;OMR;0.010000;?.?.;FALSE;4
173;CVE;0.010000;$;FALSE;4
174;SKK;0.010000;Sk;FALSE;4
175;SIT;0.010000;;FALSE;4
176;YUM;0.010000;???.;FALSE;4

